storeName,storeAddress,cityName,regionName,retailerName,storeType,storeLongitude,storeLatitude
Store 1,5994 Chestnut Street,Alecshire,RI,Retailer X,Supermarket,77.0786349,28.4362421
Store 2,616 Dusty Manor,West Nikkofort,NE,Retailer Y,Grocery,77.0760375,28.4318311
Store 3,6002 West Lane,Hazlefurt,MI,Retailer Z,Convenience,77.0753141,28.4334851
Store 4,689 Garden Close,Olsonshire,OR,Retailer [,Grocery,77.0707792,28.4339627
Store 5,627 S Washington Street,Zacharyview,AR,Retailer \,Grocery,77.0774581,28.4372608
Store 6,3817 The Oval,Heidenreichberg,HI,Retailer ],Grocery,77.0737229,28.4381677
Store 7,44617 Clara Ways,Rockford,MO,Retailer ^,Grocery,77.0705771,28.4351842
Store 8,7302 W State Street,Hildaville,MN,Retailer _,Supermarket,77.0765205,28.4314396
Store 9,4686 Trantow Views,Delano,ID,Retailer `,Grocery,77.076358,28.4332041
Store 10,843 Joel Overpass,Spring,TX,Retailer a,Convenience,77.0707508,28.4341316
Store 11,51246 Gleason Parkway,Waukesha,VA,Retailer X,Grocery,77.0713131,28.4311406
Store 12,20301 Mae Roads,Port Tyreek,NV,Retailer Y,Grocery,77.0795322,28.4335771
Store 13,58196 Terrence Overpass,South Delphiastad,RI,Retailer Z,Convenience,77.0754173,28.439
Store 14,427 Stroman Fords,Savannah,MS,Retailer [,Grocery,77.0782674,28.4311049
Store 15,4038 Lubowitz Heights,Fort Arden,WY,Retailer \,Supermarket,77.0798447,28.4394942
Store 16,82127 Thiel Ways,Menifee,NV,Retailer ],Grocery,77.0746233,28.4390654
Store 17,8261 Virgie Key,East Domenick,VA,Retailer ^,Convenience,77.0778427,28.4395129
Store 18,989 State Avenue,Fort Alessandrafort,WI,Retailer _,Grocery,77.0794018,28.4398236
Store 19,10244 Abshire Fields,Elgin,ME,Retailer `,Grocery,77.0742216,28.4365929
Store 20,7583 Mill Close,Plymouth,TX,Retailer a,Grocery,77.0759351,28.4320838
Store 21,74417 Willow Grove,Lockmanworth,CA,Retailer X,Grocery,77.071177,28.4385538
Store 22,24716 Adonis Plains,East Kallieville,IN,Retailer Y,Convenience,77.0727819,28.4328392
Store 23,5581 Emmie Point,Port Franz,NV,Retailer Z,Supermarket,77.0788764,28.4310348
Store 24,32616 Spruce Street,Fritschhaven,KY,Retailer [,Supermarket,77.0711272,28.4328196
Store 25,171 Flatley Pass,Florissant,MA,Retailer \,Grocery,77.0754837,28.4352316
Store 26,771 Van View,Smithamcester,AR,Retailer ],Supermarket,77.0774198,28.4303605
Store 27,80973 Franecki Shoal,Malden,AL,Retailer ^,Grocery,77.0706818,28.4303799
Store 28,46395 Richmond Road,Scottieside,OK,Retailer _,Grocery,77.077312,28.4339336
Store 29,7697 Vicarage Road,Germanstead,AL,Retailer `,Grocery,77.0747935,28.4302147
Store 30,853 Morissette Rapid,Gusikowskistead,MA,Retailer a,Supermarket,77.0712908,28.4355421
Store 31,1251 Violet Branch,Lake Meggie,PA,Retailer X,Grocery,77.0730175,28.4380755
Store 32,7402 Bramble Close,South Josephine,GA,Retailer Y,Grocery,77.0766748,28.4369728
Store 33,4527 Kennedi Estate,North Otisborough,KY,Retailer Z,Convenience,77.0745962,28.4302031
