storeName,storeAddress,cityName,regionName,retailerName,storeType,storeLongitude,storeLatitude
"Store 1","9682 Marquardt Cliffs","Dublin","OH","Retailer X","Convenience","77.0730118","28.4345455"
"Store 2","3544 Sim Oval","Conroytown","NM","Retailer Y","Grocery","77.0734226","28.4322355"
"Store 3","179 Senger Highway","Hayesstead","NC","Retailer Z","Convenience","77.0762008","28.4335736"
"Store 4","95990 8th Avenue","Friesenshire","MD","Retailer [","Convenience","77.0775218","28.4342270"
"Store 5","349 Beech Drive","Lake Darien","AK","Retailer \","Grocery","77.0757165","28.4320487"
"Store 6","34703 Cathrine Track","Ofeliaborough","WV","Retailer ]","Supermarket","77.0789815","28.4335645"
"Store 7","23262 Bayer Well","Port Orange","NJ","Retailer ^","Supermarket","77.0741286","28.4342502"
"Store 8","79068 Price Lock","Wheaton","WY","Retailer _","Supermarket","77.0750833","28.4378833"
"Store 9","955 Railroad Avenue","Ralphview","NJ","Retailer `","Convenience","77.0778495","28.4328631"
"Store 10","163 Weber Ridges","La Habra","KY","Retailer a","Supermarket","77.0724365","28.4333093"
"Store 11","300 Mattie Hills","East Briceborough","RI","Retailer X","Grocery","77.0790827","28.4378167"
"Store 12","29857 Halvorson Alley","Boylestad","ID","Retailer Y","Grocery","77.0781181","28.4371737"
"Store 13","23630 State Avenue","Lake Jeanieburgh","UT","Retailer Z","Supermarket","77.0719299","28.4315090"
"Store 14","89714 Casper Haven","Abbigailton","OH","Retailer [","Supermarket","77.0725522","28.4325986"
"Store 15","32376 Catalina Curve","Ellicott City","KS","Retailer \","Convenience","77.0728301","28.4337364"
"Store 16","8924 Danyka Lakes","Lincoln","WA","Retailer ]","Convenience","77.0716476","28.4389812"
"Store 17","860 Ash Road","Ankundingchester","MT","Retailer ^","Supermarket","77.0715421","28.4336654"
"Store 18","1411 Hermann Pike","Lake Barrett","VA","Retailer _","Grocery","77.0782257","28.4321758"
"Store 19","52787 Marks Rapid","Rennerside","TX","Retailer `","Convenience","77.0720092","28.4344182"
"Store 20","1920 Wilfred Fields","West Isac","OK","Retailer a","Grocery","77.0725192","28.4382772"
"Store 21","13412 Hellen Crest","Leuschketown","NM","Retailer X","Grocery","77.0741022","28.4334139"
"Store 22","814 Tamia Path","Conradworth","NC","Retailer Y","Convenience","77.0718473","28.4309007"
"Store 23","88285 Bahringer Corners","Gloverbury","HI","Retailer Z","Supermarket","77.0707622","28.4373188"
"Store 24","2214 Waylon Estate","Bodeborough","NH","Retailer [","Convenience","77.0783821","28.4342735"
"Store 25","77464 Murray River","Lake Monique","CA","Retailer \","Grocery","77.0714425","28.4342689"
"Store 26","6359 Williamson Street","New Kaelyn","SD","Retailer ]","Supermarket","77.0761289","28.4335935"
"Store 27","264 Rohan Well","Blockboro","LA","Retailer ^","Grocery","77.0708534","28.4327155"
"Store 28","52347 Schneider Square","Whittier","NJ","Retailer _","Convenience","77.0774671","28.4354268"
"Store 29","84083 Angus Stravenue","Clotildeburgh","LA","Retailer `","Grocery","77.0774177","28.4396131"
"Store 30","147 Joey Field","West Kayden","SD","Retailer a","Convenience","77.0748034","28.4335638"
"Store 31","14814 Hermina Streets","Port Craig","KY","Retailer X","Supermarket","77.0730760","28.4375561"
"Store 32","6199 Ashleigh Camp","Angelinafield","MO","Retailer Y","Supermarket","77.0704516","28.4319348"
"Store 33","839 Emard Mountain","Fort Earline","GA","Retailer Z","Convenience","77.0723246","28.4325715"
"Store 34","1492 Sanford Branch","Camrynfort","VT","Retailer [","Grocery","77.0707651","28.4339948"
"Store 35","2454 Ova Park","Baileyville","CT","Retailer \","Grocery","77.0719170","28.4369052"
